"archaeologist","gender","birthDate","archaeologistLabel","genderLabel"
"http://www.wikidata.org/entity/Q104120785","http://www.wikidata.org/entity/Q6581072","1941","Hilke Thür","female"
"http://www.wikidata.org/entity/Q104121119","http://www.wikidata.org/entity/Q6581072","1926","Maria Dawid","female"
"http://www.wikidata.org/entity/Q104121231","http://www.wikidata.org/entity/Q6581097","1969","Alfred Galik","male"
"http://www.wikidata.org/entity/Q104126255","http://www.wikidata.org/entity/Q6581072","1950","Claudia Lang-Auinger","female"
"http://www.wikidata.org/entity/Q104139366","http://www.wikidata.org/entity/Q6581097","1956","Eric Huysecom","male"
"http://www.wikidata.org/entity/Q104161399","http://www.wikidata.org/entity/Q6581097","1922","Davit Tushabramishvili","male"
"http://www.wikidata.org/entity/Q104162204","http://www.wikidata.org/entity/Q6581097","1959","Roger White","male"
"http://www.wikidata.org/entity/Q1041712","http://www.wikidata.org/entity/Q6581097","1795","Luigi Canina","male"
"http://www.wikidata.org/entity/Q1041754","http://www.wikidata.org/entity/Q6581097","1889","Étienne Drioton","male"
"http://www.wikidata.org/entity/Q104187135","http://www.wikidata.org/entity/Q6581097","1984","Marcin Danielewski","male"
"http://www.wikidata.org/entity/Q1042124","http://www.wikidata.org/entity/Q6581097","1849","Carlo Dossi","male"
"http://www.wikidata.org/entity/Q104214856","http://www.wikidata.org/entity/Q6581072","1950","Caitlín Eilís Barrett","female"
"http://www.wikidata.org/entity/Q104222","http://www.wikidata.org/entity/Q6581097","1958","Eberhard Zangger","male"
